"ESC_NOME","MUN_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"EM AUGUSTA LAMAS DAVILA","Afonso Cláudio",209,13720,3578,79.32
"EUMEF RICARDO ERNESTO HOFFMANN","Governador Lindenberg",40,2514,658,79.26
"EMEIEF LOURDES SCARDINI","Nova Venécia",181,11530,3022,79.23
"EMUEIEF BARRA DE SANTA ROSA","Baixo Guandu",17,1017,267,79.21
"CMEF SAO JORGE","Brejetuba",81,5299,1397,79.14
"EEEF TAQUARA I","Serra",156,8373,2211,79.11
"EMEF PROFESSOR ANTONIO AZEREDO COUTINHO","Conceição do Castelo",48,2999,797,79
"EMEIEF SAO MATEUS","Anchieta",34,2104,560,78.98
"EMEF DOM JOSE MAURO PEREIRA BASTOS","Serra",488,30540,8138,78.96
"EEEF MANOEL LOPES","Serra",145,8506,2274,78.91
"EMUEF NOSSA SENHORA DO CARMO","Domingos Martins",31,1974,528,78.9
"EMEIEF FELIZ DESTINO","Laranja da Terra",32,2007,537,78.89
"EMEIEF AMARELOS","Guarapari",50,2256,604,78.88
"EMPEF PROFESSORA PETRONILIA KLIPPEL","Domingos Martins",22,1284,344,78.87
"EEEFM IRACEMA CONCEICAO SILVA","Serra",199,12014,3218,78.87
"UMEF JOSE SIQUEIRA SANTA CLARA","Vila Velha",377,22213,5957,78.85
"EMPEIEF MARIA GIACOMELLI PETERLE","Rio Novo do Sul",56,3600,968,78.81
"EMEIEF FINISTAURO GRILLO","Nova Venécia",23,1449,391,78.75
"EMEF LUIZ MOISES HERINGER","Iúna",46,2686,726,78.72
"EMEF PROFESSORA MARIA ENDRINGER ANHOLETI","Rio Bananal",303,18607,5029,78.72
"EMEF PROFª MARIA DE FATIMA AMORIM GOMES","Marataízes",373,22181,5999,78.71
"EMEIEF FRANCISCO TAVARES RENES","Nova Venécia",94,6070,1642,78.71
"EMPEIEF CALIFORNIA","Santa Leopoldina",23,1379,373,78.71
"EEEFM Ana Monteiro de Paiva ","Alegre",47,2694,730,78.68
"EEEF JUDITH LEAO CASTELO RIBEIRO","Serra",50,2970,806,78.65
"EEEFM SAO LUIS","Santa Maria de Jetibá",219,12481,3391,78.64
"EMEF CINCO PONTOES","Laranja da Terra",14,912,248,78.62
"EM HILDA CORREA LEMOS","Afonso Cláudio",99,6243,1701,78.59
"EMEF PROF MARIA RODRIGUES LEITE","Nova Venécia",236,15532,4248,78.52
"EMEIEF Augusto Ruschi","Pinheiros",244,15042,4114,78.52
"EMEF PROFESSOR TIO LILIU","Anchieta",320,19919,5461,78.48
"EMPEIEF PRINCESA","Rio Novo do Sul",27,1660,456,78.45
"ES- EEEF 27 DE OUTUBRO - Estadual","São Mateus",18,922,254,78.4
"EMEIF JOSE REBUZZI SARCINELLI","João Neiva",30,1875,517,78.39
"EMEB HYLSEN DARCY PERIM","Cachoeiro de Itapemirim",126,8038,2218,78.37
"EMEIEF ADELAIDE RODRIGUES MOREIRA","Ibatiba",177,10888,3020,78.29
"EMEF DR TANCREDO DE ALMEIDA NEVES ","Viana",53,3195,893,78.16
"EEEFM Aladim Silvestre de Almeida","Barra de São Francisco",50,2915,817,78.11
"EMPEIEF JACOB SCHAEFFER","Santa Leopoldina",28,1676,470,78.1
"EMEIEF CACHOEIRA ALEGRE","Ibatiba",34,2141,603,78.02
"EEEFM MARIA DE ABREU ALVIM","Afonso Cláudio",59,3350,946,77.98
"EMPEF ANTONIO JOSE CAMPOS","Guarapari",23,1060,300,77.94
"EMEIEF BARRA DA JABUTICABA","Águia Branca",104,6263,1777,77.9
"EMEB ALCIDES CECCON","Anchieta",140,9021,2575,77.79
"EEEFM LEOGILDO SEVERIANO DE SOUZA","Brejetuba",58,3391,969,77.78
"EMEIEF LAZARINO RICCI","Ibitirama",93,5659,1617,77.78
"EEEFM MARINGA","Serra",138,7928,2272,77.73
"EMEIEF VALENTIM PEROZINI","Laranja da Terra",28,1771,509,77.68
"EMEFTI ELIEZER EDUARDO RIBEIRO","Mantenópolis",202,12510,3598,77.66
"EMEIEF JOSE ALBERICO LANTIMAN","Guarapari",43,1981,571,77.63
"EMEF PROF MARIA CELESTE TOREZANI STORCH","São Gabriel da Palha",493,30513,8795,77.63
"EMEB ANTONIA JUNGER POUBEL DA SILVA","Mimoso do Sul",71,4187,1209,77.59
"CMEIEF ""CRISTINA PEIXOTO DO CARMO""","Dores do Rio Preto",292,17358,5016,77.58
"EMEF TITO DOS SANTOS NEVES","Nova Venécia",448,27666,7998,77.57
"EEEFM FAZENDA CAMPORES","Brejetuba",48,2879,833,77.56
"EMUEF ADOLPHO PAGUNG","Santa Maria de Jetibá",40,2671,777,77.47
"EMEF Juracy Cardoso Viana","Pinheiros",342,20470,5954,77.47
"EEEF Francisco Lourenço Andrade ","Barra de São Francisco",21,1171,341,77.45
"EMEIEF ADENIL MASSINI QUIUQUI","Jaguaré",56,3535,1029,77.45
"EMEF DELFINO BATISTA VIEIRA","Iúna",112,6723,1971,77.33
"EMEF GISLENE SILVA QUEIROZ","Viana",79,4508,1328,77.24
"EPM SAO MIGUEL","São Mateus",18,991,293,77.18
"EMEF PADRE ALONSO","Itaguaçu",94,5611,1661,77.16
"EM SEBASTIAO ALBANO","Barra de São Francisco",236,14330,4254,77.11
"EMEF PLURIDOCENTE JIBOIA","Presidente Kennedy",21,1116,332,77.07
"EMEIPEF CORREGO CAPIVARA","Rio Bananal",26,1431,427,77.02
"EMEIEF MARIA PAULI SPERANDIO","Itaguaçu",73,4366,1306,76.97
"EMEIEF RAUL BERGER","Itarana",63,3865,1159,76.93
"UMEF CECILIA MARCHESI PAVESI","Vila Velha",167,9753,2933,76.88
"EMEF LIBERAL ZANDONADI","Venda Nova do Imigrante",805,48745,14695,76.84
"EMEFTI Florindo Manzoli","Pinheiros",107,6461,1947,76.84
"EEEF CARAPEBUS","Serra",139,7951,2405,76.78
"EMEIEF NOVA ESPERANCA","Piúma",72,4471,1353,76.77
"EMEF ANTONIO ESTEVES","Cariacica",66,3828,1160,76.74
"UMEF EDSON TAVARES DE SOUZA","Vila Velha",520,31248,9480,76.72
"ES- EEPEF VALE DA VITÓRIA - Estadual","São Mateus",30,1694,514,76.72
"EMEIEF PATRIMONIO DE SANTO ANTONIO","São Domingos do Norte",98,6438,1958,76.68
"EUMEF FAZENDA BONINI","Governador Lindenberg",17,1049,319,76.68
"EMPEIEF CABECEIRA DO RIO LAMEGO","Santa Maria de Jetibá",35,2155,657,76.64
"EMC PAULO FREIRE","Fundão",42,2421,739,76.61
"EEEFM ANTONIO LUIZ VALIATI","Serra",82,4479,1369,76.59
"EPM PONTE DO PANCAS","Colatina",48,2778,850,76.57
"EMEIEF LUIZA GRIMALDI","Itarana",292,17958,5498,76.56
"EMEF RIO GRANDE","Laranja da Terra",19,1102,338,76.53
"EMEIEF OROZIMBO CORREA DA SILVA","Nova Venécia",15,887,273,76.47
"EMEF DR ARCILIO TONONI ","Viana",134,7641,2355,76.44
"EMEIEF PROF JUSSARA BATISTA TAVARES","Ponto Belo",33,1565,483,76.42
"EMEF ABRAHAO GOMES DE ARAUJO","Serra",754,43745,13515,76.4
"EM PROFESSORA MARIA RODRIGUES DE LIMA","Barra de São Francisco",35,2141,663,76.36
"EMEF ENEAS FERREIRA","Fundão",143,8341,2583,76.35
"CMEI LUIZ SANTIAGO FILHO","Cariacica",72,3395,1053,76.33
"EEEFM FREDERICO BOLDT","Santa Maria de Jetibá",79,4439,1381,76.27
"UMEF GIOVANI CAVALLIERI","Vila Velha",199,11807,3685,76.21
"EMEF DR RAUL GIUBERTI","Colatina",317,18634,5822,76.19
"EM BARRA DE ITAPERUNA","Barra de São Francisco",43,2586,810,76.15
"EMEF DJANIRA MARIA DE ARAUJO","Serra",200,12195,3829,76.1
"EMUEIEF SANTA ROSA","Baixo Guandu",13,839,265,76
"EMEF SEBASTIAO VIDAL","Nova Venécia",22,1293,411,75.88
"EMEF DR BOLIVAR DE ABREU","Ecoporanga",377,22839,7273,75.85
"EEEFM FREDERICO PRETTI","Santa Teresa",43,2672,852,75.82
"EMEIEF ELIANA MARLENE COITINHO","Ibatiba",61,3772,1204,75.8
"EMEF MARCILIO DE NORONHA","Viana",129,7177,2299,75.74
"EMPEIEF ALTO SANTA JOANA","Itarana",27,1578,506,75.72
"EMPEF RIBEIRO LIMPO","Santa Leopoldina",16,978,314,75.7
"EMEF JOTA FERREIRA","Iúna",30,1759,565,75.69
"EMEF CORREGO FERRUGEM","São Domingos do Norte",35,2189,703,75.69
"EMEIEF AREA PEREIRA","Nova Venécia",35,2022,650,75.67
"EMUEF CABECEIRA DA LAGINHA","Vila Pavão",15,917,295,75.66
"EMEF FAZENDA APARECIDA","Alfredo Chaves",20,1271,409,75.65
"EEEF PROFESSORA ADEVALNI AZEVEDO","Serra",75,4311,1393,75.58
"EMUEF PENA","Domingos Martins",17,952,308,75.56
"EMEIEF PLURIDOCENTE AGUA PRETA","Presidente Kennedy",13,822,266,75.55
"EMEF OLIVANIA","Anchieta",14,846,274,75.54
"EMUEF RETIRO","Itapemirim",16,976,316,75.54
"EMPEIEF PENDANGA","Ibiraçu",21,1320,428,75.51
"EMEF GOLFINHO","São Mateus",448,28473,9247,75.49
"EMUEF CORREGO DO MAROTO","Vila Pavão",18,1093,355,75.48
"EMEF DR NAGEM ABIKAHIR","Iúna",669,37377,12185,75.41
"EMEIEF SANTO EDUARDO","Presidente Kennedy",60,3609,1179,75.38
"EMEF LUIZ DE CAMÕES","Linhares",215,13162,4302,75.37
"EMEF JOSE LUIZ DA COSTA","Pedro Canário",221,12935,4229,75.36
"EMEIEF SAO PAULO","Presidente Kennedy",82,4876,1596,75.34
"EM SAO GERALDO","Guaçuí",370,22569,7389,75.34
"ES - EEEF XIII DE SETEMBRO - Estadual","São Mateus",24,1368,448,75.33
"EMEF PADRE ASSIS","Iconha",251,14504,4756,75.31
"EMEF MARIA IZABEL FALCHETO","Marilândia",289,16095,5281,75.29
"EMUEF Santa Rita","Pinheiros",13,798,262,75.28
"Professor José Maria Pereira","Ibatiba",176,10712,3520,75.27
"EMFA Ziolita Maria da Silveira","Alegre",17,996,328,75.23
"EEEFM LARANJEIRAS","Serra",199,11054,3640,75.23
"EMEF OURO NEGRO","São Mateus",593,36170,11918,75.22
"EM UMBELINA MACHADO DA SILVA","São José do Calçado",80,5307,1749,75.21
"EM NICOLA NICOLINI","Barra de São Francisco",54,3183,1049,75.21
"EMEIEF NAPOLEÃO ZANOTTI","Itaguaçu",20,1203,397,75.19
"EMEIPEF VITORIO BACHETTE","Rio Bananal",30,1747,577,75.17
"EMEF MISSIONARIOS COMBONIANOS","João Neiva",117,6551,2165,75.16
"EMEIEFTI JACOMO BORGO","Marechal Floriano",81,4875,1613,75.14
"EMEIEF PROF MARIA MAGDALENA MAGNAGO CARDOSO","Nova Venécia",15,835,277,75.09
"EMEB PEDRA BRANCA","Vargem Alta",14,814,270,75.09
"EMEBTI PROF. JOSÉ PAINEIRAS FILHO","Cachoeiro de Itapemirim",105,6175,2055,75.03
"EMEF ""DJALMA DE SÁ OLIVEIRA""","Dores do Rio Preto",124,7397,2475,74.93
"EM CUSTODIO LOPES DA ROCHA","Afonso Cláudio",16,1031,345,74.93
"EMPEF LUCIO ROCHA DE ALMEIDA","Guarapari",70,3209,1079,74.84
"EMUEF PORTAL DE PAINEIRAS","Itapemirim",52,3119,1049,74.83
"EPM CABECEIRA DO NORTE","Muniz Freire",57,3159,1065,74.79
"UMEF ANTONIO DEBARCELLOS","Vila Velha",241,14521,4899,74.77
"EMEIF Professor Domingos Bravo Reinoso","Alegre",270,16182,5470,74.74
"EMEF ANA ROCHA LYRA","Guarapari",605,28406,9618,74.71
"EMEF FREI PEDRO DOMINGO IZCARA","Muqui",459,27688,9384,74.69
"CEMEF OSWALDO RIBEIRO DA SILVA","Brejetuba",195,11466,3894,74.65
"EMEF CORONEL VIRGINIO CALMON","Colatina",338,20093,6835,74.62
"EMEF NICOLAU BORGES","Jerônimo Monteiro",348,20020,6836,74.55
"EMEIEF SANTA MARIA","Ibatiba",68,4225,1443,74.54
"EMEIEF ALTO SAO PEDRO","Pancas",20,1219,417,74.51
"EMEIEF VEREADOR LEANDRO ZINGER","Ibiraçu",47,2736,936,74.51
"EMUEF VILA NOVA DO RIBEIRAO","Alfredo Chaves",13,751,257,74.5
"EMEIEF FAZENDA FEREGUETTI","Governador Lindenberg",35,1800,618,74.44
"EMEIEF QUARTEIRAO","Rio Novo do Sul",69,4071,1405,74.34
"UMEF BARÃO DO RIO BRANCO","Vila Velha",239,13877,4815,74.24
"EMEF OLIVINA SIQUEIRA","Serra",399,22824,7930,74.21
"EMEFTI PROF BENEDITA MONTEIRO","Ecoporanga",243,14284,4964,74.21
"EMEIEF PROF MARIA VARGAS DA SILVA","Água Doce do Norte",127,7537,2619,74.21
"EMEF PROF ALBA LILIA C MIGUEL","Serra",303,16692,5804,74.2
"EMEF HUMBERTO DE CAMPOS","Colatina",184,10696,3720,74.2
"EMEFTI Vila Nova","Pinheiros",149,8544,2972,74.19
"UMEFTI EZEQUIEL LEAL","Vila Velha",455,25928,9022,74.19
"EMEF EUGENIO MENEGHELLI","Colatina",429,26805,9331,74.18
"EMEF CORREGO ADAME","Laranja da Terra",17,1014,354,74.12
"EMEIEF TANIA AHOUAGI AMARAL MILO","Guarapari",147,6571,2297,74.1
"EMEIEF PROF SONIA MARIA FARIA PINHEIRO","Irupi",289,15795,5521,74.1
"EMEF PROF GUEDES ALCOFORADO","Pedro Canário",407,24345,8511,74.1
"EMEF FERRUCIO FORRECHI","Colatina",326,19356,6776,74.07
"EMEF CORREGO DO ESPINHO","Pancas",18,1013,355,74.05
"EMEIEF SAO VICENTE DE PAULO","Muqui",139,8749,3071,74.02
"EMEF ILMA NASCIMENTO DIAS","Santa Leopoldina",268,15626,5498,73.97
"UMEF PROFESSOR ZALUAR DIAS","Vila Velha",218,12714,4478,73.95
"EMPEF MARCELINO BIANCARDI","Iconha",82,4578,1618,73.89
"EMEIEF CEDROLANDIA","Nova Venécia",111,7459,2637,73.88
"EMPEF ORESTE BERNARDO","Rio Novo do Sul",28,1714,606,73.88
"EMEIEF ARLINDO GOBBI","Guarapari",111,5965,2115,73.82
"EMEIEF PARAISO NOVO","Vila Valério",21,1187,421,73.82
"UMEF PROFESSORA EMILIA DO ESPÍRITO SANTO CARNEIRO","Vila Velha",593,32564,11578,73.77
"EM OTTO SAAR","Barra de São Francisco",84,5092,1812,73.75
"EMEF Athaydes Alves de Assis","Alegre",44,2717,967,73.75
"EMPEIEF ALTO SANTO ANTONIO","Santa Teresa",23,1348,480,73.74
"EMEIEF FLORISBELA LINO BANDEIRA","Guarapari",496,23353,8347,73.67
"EMEB ANISIO VIEIRA DE ALMEIDA RAMOS","Cachoeiro de Itapemirim",483,28060,10032,73.66
"EMEIEF DR CARLOS GERMANO NAUMANN","Colatina",206,11716,4196,73.63
"EM ALTO TABATINGA","Afonso Cláudio",27,1670,598,73.63
"EMEF CUSTODIA DIAS DE CAMPOS","Vitória",241,14430,5170,73.62
"EEEFM FAZENDA EMILIO SCHROEDER","Santa Maria de Jetibá",71,3905,1399,73.62
"ES- EEEF TRÊS DE MAIO - Estadual","Pedro Canário",47,2535,909,73.61
"EMPEF RIO DAS FARINHAS","Santa Leopoldina",14,762,274,73.55
"EMEIEF CORREGO DO POCAO","Nova Venécia",34,2015,725,73.54
"EMEF LEONILDA DAS GRACAS LANGA","Cariacica",194,10921,3937,73.5
"UMEF PROFESSORA RAYMUNDA DE MENDONCA","Vila Velha",627,35208,12700,73.49
"EMEIEF PEDRA TORTA","Águia Branca",148,9327,3365,73.49
"EMEIEF VITAL LUCAS","Rio Novo do Sul",178,10054,3630,73.47
"CMEI AMELIA VIRGINIA BARBOSA MACHADO","Cariacica",36,1504,544,73.44
"EMEIEF FLORENCIO BENTO ALVES","Itapemirim",264,17923,6485,73.43
"EMPEIEF RIO FUNDO","Marechal Floriano",22,1356,492,73.38
"EMEITIEF EUNICE DOS SANTOS RODRIGUES","Pedro Canário",61,3161,1147,73.38
"EMEF EUNICE PEREIRA SILVEIRA","Ibatiba",239,13901,5059,73.32
"EPM CORREGO SECO","São Mateus",28,1659,605,73.28
"EMEF ALDA LOFEGO DE CASTRO","Iúna",33,1955,713,73.28
"EMPEIEF CARLOS ZIETLOW","Santa Maria de Jetibá",14,873,319,73.24
"EMEIEF PROF NILSA ALVES FIGUEIRA","Água Doce do Norte",364,20941,7663,73.21
"EMPEF ALTO TIJUCO PRETO","Domingos Martins",25,1422,522,73.15
"EMPEF FRANCISCO HONORATO","Guarapari",15,749,275,73.14
"EEEF CORREGO DA LAPA","São Gabriel da Palha",15,780,288,73.03
"EMEF MARIA MADALENA DE OLIVEIRA DOMINGUES","Vitória",402,26552,9842,72.96
"EMEIEF PALMEIRAS","Ecoporanga",91,5185,1923,72.95
"EEEFM Arquimimo Mattos","Muniz Freire",165,9177,3407,72.93
"Escola Estadual e Ensino Fundamental e Médio Vila Regência","Linhares",64,3526,1310,72.91
"EMEIEF MARIA DAS GRACAS SANT ANA MENARIO","Guarapari",307,14178,5274,72.89
"EMEIEF TIAGO SILVA VIDAL","Marataízes",59,3487,1297,72.89
"EMEIF PATRIMONIO DAS SILVEIRAS","Brejetuba",24,1341,499,72.88
"EPM ANTONIO LIMA","São Mateus",27,1673,623,72.87
"EMEIEF MARIA LINO RAMOS","Guarapari",62,3028,1128,72.86
"EMEFTI PRESIDENTE COSTA E SILVA","Montanha",129,7502,2798,72.83
"EMEF LILAZINA GOMES DE SOUZA","São Mateus",299,17807,6643,72.83
"EMEIEF SANTA LUZIA DO AZUL","Água Doce do Norte",49,2763,1033,72.79
"CIEC Jaci Kobbi Rodrigues","Alegre",201,11494,4298,72.78
"EMCOR PADRE FULGENCIO DO MENINO JESUS","Colatina",138,8879,3323,72.77
"EMEF PROFESSOR ERNESTO NASCIMENTO","Fundão",169,9489,3563,72.7
"EMEF SAGRADA FAMILIA","Alfredo Chaves",25,1592,600,72.63
"EMEIEF FAZENDA CARLOS FICK","Laranja da Terra",33,2068,780,72.61
"EEEF Paulo Damião Tristão Purinha","Linhares",36,2039,769,72.61
"EMEIEF ANGELO LUIZ SAGRILLO SMIDERLE","Conceição da Barra",300,16983,6413,72.59
"EMUEF FAZENDA CLARICE","Rio Bananal",18,993,375,72.59
"CMEIEF ""PROF. VIRGINIA MARIA DE OLIVEIRA AMARAL""","Dores do Rio Preto",130,7550,2854,72.57
